Indicator,Description
Rand per US Dollar,Weighted average of the banks' daily rates at approximately 10:30 am. Weights are based on the banks' foreign exchange transactions.
,
Date,Value
 2023-04-06,18.1575
 2023-04-05,17.9286
 2023-04-04,17.8028
 2023-04-03,17.9478
 2023-03-31,17.8139
 2023-03-30,18.0836
 2023-03-29,18.1442
 2023-03-28,18.2859
 2023-03-27,18.3017
 2023-03-24,18.1647
 2023-03-23,18.128
 2023-03-22,18.5316
 2023-03-20,18.5427
 2023-03-17,18.3149
 2023-03-16,18.3496
 2023-03-15,18.2294
 2023-03-14,18.2052
 2023-03-13,18.1428
 2023-03-10,18.4585
 2023-03-09,18.6267
 2023-03-08,18.6706
 2023-03-07,18.2798
 2023-03-06,18.1994
 2023-03-03,18.1537
 2023-03-02,18.1847
 2023-03-01,18.1575
 2023-02-28,18.4803
 2023-02-27,18.3413
 2023-02-24,18.309
 2023-02-23,18.3119
 2023-02-22,18.3646
 2023-02-21,18.2314
 2023-02-20,18.0367
 2023-02-17,18.2712
 2023-02-16,18.0048
 2023-02-15,17.9856
 2023-02-14,17.8519
 2023-02-13,17.9937
 2023-02-10,17.7503
 2023-02-09,17.7007
 2023-02-08,17.5344
 2023-02-07,17.6448
 2023-02-06,17.5008
 2023-02-03,17.1455
 2023-02-02,17.0461
 2023-02-01,17.3973
 2023-01-31,17.4258
 2023-01-30,17.2394
 2023-01-27,17.2577
 2023-01-26,17.0717
 2023-01-25,17.2392
 2023-01-24,17.2554
 2023-01-23,17.1946
 2023-01-20,17.2468
 2023-01-19,17.1477
 2023-01-18,16.9614
 2023-01-17,17.1099
 2023-01-16,17.0182
 2023-01-13,16.7265
 2023-01-12,16.893
 2023-01-11,17.0365
 2023-01-10,16.9657
 2023-01-09,17.0166
 2023-01-06,17.1939
 2023-01-05,16.9791
 2023-01-04,16.8215
 2023-01-03,17.0707
 2022-12-30,16.9831
 2022-12-29,17.0157
 2022-12-28,17.1979
 2022-12-23,17.114
 2022-12-22,17.1493
 2022-12-21,17.2949
 2022-12-20,17.3293
 2022-12-19,17.4547
 2022-12-15,17.3492
 2022-12-14,17.1786
 2022-12-13,17.6174
 2022-12-12,17.4977
 2022-12-09,17.161
 2022-12-08,17.2011
 2022-12-07,17.3465
 2022-12-06,17.3461
 2022-12-05,17.2587
 2022-12-02,17.5034
 2022-12-01,17.384
 2022-11-30,16.9746
 2022-11-29,17.0004
 2022-11-28,17.1143
 2022-11-25,17.0837
 2022-11-24,16.9632
 2022-11-23,17.2297
 2022-11-22,17.294
 2022-11-21,17.3683
 2022-11-18,17.389
 2022-11-17,17.2469
 2022-11-16,17.2922
 2022-11-15,17.235
 2022-11-14,17.2653
 2022-11-11,17.2798
 2022-11-10,17.7756
 2022-11-09,17.6668
 2022-11-08,17.7721
 2022-11-07,17.8789
 2022-11-04,18.2961
 2022-11-03,18.3669
 2022-11-02,18.1238
 2022-11-01,18.1655
 2022-10-31,18.3075
 2022-10-28,18.1019
 2022-10-27,17.9907
 2022-10-26,18.0301
 2022-10-25,18.4557
 2022-10-24,18.3241
 2022-10-21,18.3618
 2022-10-20,18.3382
 2022-10-19,18.1674
 2022-10-18,18.017
 2022-10-17,18.1931
 2022-10-14,18.1708
 2022-10-13,18.3614
 2022-10-12,18.1774
 2022-10-11,18.1006
 2022-10-10,18.2334
 2022-10-07,17.9767
 2022-10-06,17.8335
 2022-10-05,17.7343
 2022-10-04,17.7405
 2022-10-03,18.0045
 2022-09-30,17.8937
 2022-09-29,18.0226
 2022-09-28,18.1596
 2022-09-27,17.9544
 2022-09-26,18.0671
 2022-09-23,17.7755
 2022-09-22,17.657
 2022-09-21,17.7225
 2022-09-20,17.6711
 2022-09-19,17.744
 2022-09-16,17.655
 2022-09-15,17.4757
 2022-09-14,17.3835
 2022-09-13,17.0438
 2022-09-12,17.1059
 2022-09-09,17.284
 2022-09-08,17.3426
 2022-09-07,17.3675
 2022-09-06,17.1297
 2022-09-05,17.3256
 2022-09-02,17.3139
 2022-09-01,17.1363
 2022-08-31,17.025
 2022-08-30,16.7849
 2022-08-29,16.934
 2022-08-26,16.8291
 2022-08-25,16.857
 2022-08-24,17.0391
 2022-08-23,17.035
 2022-08-22,17.0619
 2022-08-19,16.8918
 2022-08-18,16.7221
 2022-08-17,16.4668
 2022-08-16,16.4718
 2022-08-15,16.3237
 2022-08-12,16.1698
